Local time,Open,High,Low,Close,Volume
14.10.2024 00:00:00.000 GMT+0200,5810.377,5810.377,5810.377,5810.377,0
14.10.2024 00:01:00.000 GMT+0200,5810.377,5810.377,5810.377,5810.377,0
14.10.2024 00:02:00.000 GMT+0200,5810.377,5810.377,5810.377,5810.377,0
14.10.2024 00:03:00.000 GMT+0200,5810.377,5810.377,5810.377,5810.377,0
14.10.2024 00:04:00.000 GMT+0200,5810.377,5810.377,5810.377,5810.377,0
14.10.2024 00:05:00.000 GMT+0200,5810.377,5810.377,5810.377,5810.377,0
14.10.2024 00:06:00.000 GMT+0200,5810.377,5810.377,5810.377,5810.377,0
14.10.2024 00:07:00.000 GMT+0200,5810.377,5810.377,5810.377,5810.377,0
14.10.2024 00:08:00.000 GMT+0200,5806.990,5807.129,5806.614,5807.129,0.008
14.10.2024 00:09:00.000 GMT+0200,5807.364,5807.632,5807.364,5807.481,0.0067
14.10.2024 00:10:00.000 GMT+0200,5807.629,5808.876,5807.547,5807.620,0.0275
14.10.2024 00:11:00.000 GMT+0200,5807.873,5808.382,5807.481,5808.382,0.0094
14.10.2024 00:12:00.000 GMT+0200,5808.620,5808.677,5808.117,5808.120,0.0107
14.10.2024 00:13:00.000 GMT+0200,5808.243,5808.367,5808.129,5808.129,0.002
14.10.2024 00:14:00.000 GMT+0200,5808.373,5808.373,5808.114,5808.126,0.0027
14.10.2024 00:15:00.000 GMT+0200,5808.427,5809.132,5808.427,5808.882,0.0181
14.10.2024 00:16:00.000 GMT+0200,5809.129,5809.132,5808.864,5808.864,0.0114
14.10.2024 00:17:00.000 GMT+0200,5808.996,5808.996,5808.611,5808.749,0.0047
14.10.2024 00:18:00.000 GMT+0200,5808.861,5808.861,5808.361,5808.611,0.0054
14.10.2024 00:19:00.000 GMT+0200,5808.876,5809.626,5808.876,5809.626,0.008
14.10.2024 00:20:00.000 GMT+0200,5809.734,5809.927,5809.617,5809.882,0.0067
14.10.2024 00:21:00.000 GMT+0200,5809.611,5809.927,5809.611,5809.617,0.008
14.10.2024 00:22:00.000 GMT+0200,5809.861,5810.123,5809.797,5809.876,0.0033
14.10.2024 00:23:00.000 GMT+0200,5810.120,5810.367,5810.111,5810.367,0.0027
14.10.2024 00:24:00.000 GMT+0200,5810.620,5810.861,5810.367,5810.367,0.0074
14.10.2024 00:25:00.000 GMT+0200,5810.499,5810.864,5810.361,5810.864,0.0047
14.10.2024 00:26:00.000 GMT+0200,5810.617,5810.617,5810.117,5810.117,0.0033
14.10.2024 00:27:00.000 GMT+0200,5810.370,5810.382,5810.117,5810.364,0.008
14.10.2024 00:28:00.000 GMT+0200,5810.629,5810.873,5810.629,5810.873,0.0013
14.10.2024 00:29:00.000 GMT+0200,5810.987,5811.117,5810.864,5810.867,0.0054
14.10.2024 00:30:00.000 GMT+0200,5811.132,5811.376,5811.132,5811.373,0.0027
14.10.2024 00:31:00.000 GMT+0200,5811.481,5812.382,5811.361,5812.379,0.0154
14.10.2024 00:32:00.000 GMT+0200,5812.249,5812.376,5812.114,5812.129,0.0054
14.10.2024 00:33:00.000 GMT+0200,5811.879,5811.879,5811.111,5811.367,0.0047
14.10.2024 00:34:00.000 GMT+0200,5811.677,5812.177,5811.677,5811.981,0.0087
14.10.2024 00:35:00.000 GMT+0200,5812.120,5812.752,5812.111,5812.623,0.0161
14.10.2024 00:36:00.000 GMT+0200,5812.740,5812.752,5812.111,5812.123,0.008
14.10.2024 00:37:00.000 GMT+0200,5812.361,5812.370,5812.111,5812.367,0.006
14.10.2024 00:38:00.000 GMT+0200,5812.132,5812.177,5811.861,5811.879,0.0087
14.10.2024 00:39:00.000 GMT+0200,5811.632,5811.632,5811.361,5811.361,0.0033
14.10.2024 00:40:00.000 GMT+0200,5811.240,5811.427,5811.111,5811.373,0.006
14.10.2024 00:41:00.000 GMT+0200,5811.677,5812.132,5811.677,5811.873,0.0047
14.10.2024 00:42:00.000 GMT+0200,5811.677,5811.999,5811.677,5811.999,0.002
14.10.2024 00:43:00.000 GMT+0200,5812.120,5812.120,5811.981,5812.114,0.0033
14.10.2024 00:44:00.000 GMT+0200,5812.382,5812.427,5812.123,5812.427,0.002
14.10.2024 00:45:00.000 GMT+0200,5812.632,5813.379,5812.427,5812.993,0.01
14.10.2024 00:46:00.000 GMT+0200,5813.177,5813.364,5812.677,5812.677,0.0074
14.10.2024 00:47:00.000 GMT+0200,5812.367,5812.367,5811.879,5811.879,0.0027
14.10.2024 00:48:00.000 GMT+0200,5811.629,5811.879,5811.629,5811.879,0.004
14.10.2024 00:49:00.000 GMT+0200,5812.123,5812.123,5812.123,5812.123,0.0007
14.10.2024 00:50:00.000 GMT+0200,5812.246,5813.132,5812.246,5813.132,0.0087
14.10.2024 00:51:00.000 GMT+0200,5812.870,5812.927,5812.611,5812.626,0.0067
14.10.2024 00:52:00.000 GMT+0200,5812.370,5812.370,5812.370,5812.370,0.0007
14.10.2024 00:53:00.000 GMT+0200,5812.499,5813.373,5812.499,5813.132,0.0054
14.10.2024 00:54:00.000 GMT+0200,5812.993,5812.993,5812.364,5812.364,0.004
14.10.2024 00:55:00.000 GMT+0200,5812.252,5812.252,5811.873,5811.873,0.002
14.10.2024 00:56:00.000 GMT+0200,5811.984,5812.427,5811.864,5812.123,0.008
14.10.2024 00:57:00.000 GMT+0200,5812.237,5812.617,5812.237,5812.614,0.0033
14.10.2024 00:58:00.000 GMT+0200,5812.493,5812.614,5812.373,5812.373,0.0033
14.10.2024 00:59:00.000 GMT+0200,5812.490,5813.132,5812.373,5813.132,0.0033
14.10.2024 01:00:00.000 GMT+0200,5813.370,5813.927,5813.114,5813.677,0.0094
14.10.2024 01:01:00.000 GMT+0200,5813.740,5813.740,5812.864,5812.864,0.004
14.10.2024 01:02:00.000 GMT+0200,5813.129,5813.129,5813.129,5813.129,0.0007
14.10.2024 01:03:00.000 GMT+0200,5813.367,5813.677,5813.367,5813.617,0.006
14.10.2024 01:04:00.000 GMT+0200,5813.879,5813.879,5813.879,5813.879,0.0007
14.10.2024 01:05:00.000 GMT+0200,5814.177,5814.177,5813.870,5814.114,0.002
14.10.2024 01:06:00.000 GMT+0200,5814.373,5814.632,5813.867,5813.867,0.0154
14.10.2024 01:07:00.000 GMT+0200,5813.993,5814.117,5813.123,5813.123,0.0074
14.10.2024 01:08:00.000 GMT+0200,5813.240,5813.382,5813.111,5813.379,0.0074
14.10.2024 01:09:00.000 GMT+0200,5813.132,5813.132,5812.361,5812.611,0.0047
14.10.2024 01:10:00.000 GMT+0200,5812.379,5812.626,5812.361,5812.614,0.0054
